exercise_id,name_vi,name_en,category,difficulty,default_duration_sec,default_reps,rest_sec,equipment,primary_muscle,instructions_vi,instructions_en,common_mistakes_vi,common_mistakes_en,safety_note_vi,safety_note_en,video_url,gif_url,thumbnail_url
dead_bug,Bug chết,Dead Bug,core,beginner,30,,20,none,deep_core,"Nằm ngửa, tay và gối nâng 90 độ, duỗi chéo tay-chân rồi đổi bên.","Lie on back with arms and knees at 90 degrees, extend opposite arm-leg, alternate.","Lưng dưới nhấc khỏi sàn.","Lower back lifting off floor.","Giữ lưng dính sàn trong toàn bộ chuyển động.","Keep lower back pressed to floor throughout.",,exercise_library.csv/Dead Bug.webp,exercise_library.csv/Dead Bug.webp
standard_push_up,Hít đất chuẩn,Standard Push-up,chest_arms,intermediate,,12,35,none,chest_triceps,"Giữ thân thẳng, hạ ngực xuống gần sàn, đẩy lên hết biên độ.","Keep body straight, lower chest near floor, press up through full range.","Không xuống đủ sâu; võng lưng.","Shallow reps; sagging hips.","Siết core và mông để ổn định thân.","Brace core and glutes for body stability.",,,exercise_library.csv/Standard Push-up.jpg
wide_push_up,Hít đất tay rộng,Wide Push-up,chest_arms,intermediate,,10,35,none,chest,"Đặt tay rộng hơn vai rõ rệt, hạ người chậm và đẩy lên mạnh.","Place hands wider than shoulders, lower under control, press up strongly.","Khuỷu mở quá mức gây đau vai.","Over-flared elbows causing shoulder strain.","Giữ bả vai ổn định, tránh đổ vai trước.","Keep shoulder blades stable, avoid forward shoulder roll.",,exercise_library.csv/Wide Push-up.webp,exercise_library.csv/Wide Push-up.webp
diamond_push_up,Hít đất kim cương,Diamond Push-up,chest_arms,advanced,,8,40,none,triceps,"Đặt hai tay tạo hình kim cương dưới ngực, hạ người và đẩy lên.","Place hands in a diamond shape under chest, lower and press up.","Cổ tay đau do đặt tay sai; gập lưng.","Wrist pain from poor hand position; lumbar arch.","Nếu khó, thực hiện phiên bản quỳ gối.","Use knee variation if needed.",,,exercise_library.csv/Diamond Push-up.jpg
chair_dip,Chống ghế,Chair Dip,chest_arms,beginner,,12,35,chair,triceps,"Tay chống mép ghế, hạ người bằng khuỷu tay, đẩy lên.","Hands on chair edge, lower body by bending elbows, press up.","Vai nhô cao; hạ quá sâu.","Shoulders elevated; dipping too deep.","Giữ ngực mở và vai kéo xuống.","Keep chest open and shoulders down.",,exercise_library.csv/Chair Dip.webp,exercise_library.csv/Chair Dip.webp
pike_push_up,Hít đất chữ V,Pike Push-up,chest_arms,advanced,,10,40,none,shoulders_triceps,"Tạo hình chữ V ngược, hạ đỉnh đầu về sàn, đẩy lên.","Form an inverted V, lower head toward floor, press up.","Đẩy bằng lưng thay vì vai; bước chân quá xa.","Using back instead of shoulders; feet too far.","Giữ cổ trung lập, mắt nhìn giữa hai tay.","Keep neck neutral, gaze between hands.",,exercise_library.csv/Pike Push-up.webp,exercise_library.csv/Pike Push-up.webp
triceps_bench_dip,Dip ghế cho tay sau,Triceps Bench Dip,chest_arms,intermediate,,12,35,chair,triceps,"Chống tay lên ghế phía sau, hạ người theo trục dọc, đẩy lên.","Hands on bench behind, lower body vertically, push up.","Khuỷu tay mở ngang; vai kéo ra trước.","Elbows flaring out; shoulders drifting forward.","Giữ khuỷu gần thân người.","Keep elbows close to your torso.",,,exercise_library.csv/Triceps Bench Dip.jpg
bulgarian_split_squat,Squat Bulgaria,Bulgarian Split Squat,legs_glutes,advanced,,10,40,chair,quads_glutes,"Đặt chân sau lên ghế, hạ người theo phương thẳng đứng, đẩy lên bằng chân trước.","Rear foot on bench, lower vertically, push up through front leg.","Mất thăng bằng do bước chân sai.","Poor balance due to wrong stance length.","Chọn khoảng cách chân vừa phải trước khi tập.","Set stance distance before starting reps.",,exercise_library.csv/Bulgarian Split Squat.webp,exercise_library.csv/Bulgarian Split Squat.webp
wall_sit,Ngồi tựa tường,Wall Sit,legs_glutes,beginner,40,,30,none,quads,"Tựa lưng vào tường, trượt xuống đến khi gối khoảng 90 độ và giữ.","Back against wall, slide down until knees near 90 degrees and hold.","Gối vượt mũi chân quá nhiều; lưng rời tường.","Knees too far over toes; back leaving wall.","Dừng nếu đầu gối đau nhói.","Stop if you feel sharp knee pain.",,,exercise_library.csv/Wall Sit.jpg
donkey_kick,Đá chân sau,Donkey Kick,legs_glutes,beginner,,15,20,none,glutes,"Chống tay gối, đá gót chân lên trần, siết mông ở đỉnh động tác.","On hands and knees, drive heel upward, squeeze glute at top.","Võng lưng dưới; đá quá cao mất kiểm soát.","Lower-back arching; kicking too high.","Giữ core siết và chuyển động có kiểm soát.","Brace core and move with control.",,,exercise_library.csv/Donkey Kick.jpg
calf_raise,Nhón bắp chân,Calf Raise,legs_glutes,beginner,,20,20,none,calves,"Đứng thẳng, nhón gót lên cao, hạ xuống chậm.","Stand tall, rise onto toes, lower slowly.","Nhún người lấy đà; hạ quá nhanh.","Bouncing for momentum; dropping too fast.","Giữ nhịp chậm để tăng hiệu quả.","Use slow tempo for better activation.",,exercise_library.csv/Calf Raise.webp,exercise_library.csv/Calf Raise.webp
